Week_num,Passengers,Promotion_Budget,Service_Quality_Score,Holiday_week,Delayed_Cancelled_flight_ind,Inter_metro_flight_ratio,Bad_Weather_Ind,Technical_issues_ind
1,37824,517356,4,NO,NO,0.7,YES,YES
2,43936,646086,2.67466,NO,YES,0.8,YES,YES
3,42896,638330,3.29473,NO,NO,0.9,NO,NO
4,35792,506492,3.85684,NO,NO,0.4,NO,NO
5,38624,609658,3.90757,NO,NO,0.87,NO,YES
6,35744,476084,3.8371,NO,YES,0.66,YES,NO
7,40752,635978,3.60259,NO,YES,0.74,YES,NO
8,34592,495152,3.60086,NO,YES,0.39,NO,NO
9,35136,429800,3.62776,NO,NO,0.61,NO,YES
10,43328,613326,2.98305,NO,NO,0.66,NO,NO
11,34960,492758,3.60089,NO,NO,0.77,NO,NO
12,44464,600726,2.56064,NO,YES,0.74,YES,NO
13,36464,456960,3.89655,NO,YES,0.39,YES,NO
14,44464,586096,2.47713,NO,YES,0.79,YES,NO
15,51888,704802,1.77422,YES,YES,0.72,YES,YES
16,36800,536970,3.92254,NO,NO,0.43,NO,YES
17,48688,742308,1.93589,NO,NO,0.9,NO,YES
18,37456,500234,3.9906,NO,NO,0.46,NO,NO
19,44800,570682,2.43241,NO,YES,0.79,YES,YES
20,56032,826420,1.41139,YES,YES,0.8,YES,NO
21,58800,761040,1.24488,YES,NO,0.69,NO,NO
22,57440,753466,1.36091,YES,NO,0.6,NO,NO
23,32752,502712,3.37428,NO,YES,0.45,YES,YES
24,43424,653856,2.88878,NO,YES,0.89,YES,YES
25,45968,706748,2.31898,NO,YES,0.62,YES,NO
26,38816,532602,3.85307,NO,NO,0.75,NO,YES
27,35168,518070,3.70671,NO,YES,0.47,YES,YES
28,34496,539378,3.48455,NO,YES,0.78,YES,YES
29,34208,414120,3.48166,NO,YES,0.38,YES,NO
30,44320,653338,2.58325,NO,NO,0.71,NO,YES
31,36800,472178,3.97446,NO,NO,0.61,NO,NO
32,47936,620088,2.01149,NO,NO,0.65,NO,YES
33,46000,686602,2.2833,NO,NO,0.67,NO,YES
34,32752,524790,3.38123,NO,YES,0.66,YES,NO
35,35520,550018,3.78233,NO,NO,0.83,NO,YES
36,43200,563500,3.13433,NO,YES,0.86,YES,NO
37,46352,641186,2.20137,NO,NO,0.79,NO,YES
38,42880,571746,3.37231,NO,YES,0.9,YES,NO
39,36304,465472,3.88935,NO,YES,0.52,YES,NO
40,37600,595112,3.99888,NO,YES,0.85,YES,YES
41,46960,672280,2.11109,NO,YES,0.9,YES,YES
42,45376,574840,2.36189,NO,NO,0.9,NO,NO
43,30432,373954,3.21748,NO,NO,0.41,NO,YES
44,28896,365680,3.14737,NO,NO,0.76,NO,YES
45,32272,416374,3.28734,NO,NO,0.42,NO,YES
46,37936,511546,3.99727,NO,YES,0.49,YES,YES
47,33408,486962,3.46169,NO,NO,0.4,NO,YES
48,43088,658714,3.20884,NO,YES,0.72,YES,NO
49,40272,631288,3.71021,NO,YES,0.63,YES,YES
50,40464,573258,3.66185,NO,NO,0.42,NO,NO
51,43728,590492,2.77882,NO,YES,0.47,YES,NO
52,47040,694568,2.06989,NO,YES,0.55,YES,NO
53,34512,493444,3.57125,NO,NO,0.74,NO,YES
54,57600,781718,1.35511,YES,NO,0.67,NO,YES
55,36064,526162,3.87218,NO,YES,0.73,NO,YES
56,49392,707070,1.91865,NO,NO,0.75,NO,NO
57,42378,545510,3.4663,NO,NO,0.62,NO,YES
58,38584,555170,3.99116,NO,NO,0.77,NO,NO
59,28700,405916,3.07021,NO,NO,0.72,NO,NO
60,55160,738794,1.48667,YES,YES,0.71,YES,NO
61,52472,666778,1.58686,YES,YES,0.9,YES,NO
62,54474,715498,1.52341,YES,YES,0.55,YES,NO
63,54222,754418,1.58647,YES,NO,0.78,YES,NO
64,73444,1012130,0.91298,YES,YES,0.9,YES,NO
65,67130,1003002,0.9805,YES,NO,0.79,NO,YES
66,39984,589526,3.77575,NO,NO,0.81,NO,NO
67,41972,550872,3.49699,NO,YES,0.68,YES,YES
68,43722,652680,2.84565,NO,YES,0.69,YES,NO
69,76972,1041796,0.8747,YES,YES,0.9,YES,NO
70,58156,881818,1.33013,YES,NO,0.82,NO,NO
71,52304,679938,1.68678,YES,NO,0.63,NO,YES
72,76524,1024450,0.87933,YES,YES,0.9,YES,NO
73,60620,844578,1.15504,YES,NO,0.9,NO,YES
74,32018,445424,3.23666,NO,YES,0.64,YES,YES
75,51814,669144,1.87321,YES,NO,0.88,NO,YES
76,66934,927696,1.07138,YES,YES,0.84,NO,NO
77,81228,1108254,0.85536,YES,YES,0.9,YES,NO
78,43288,638162,3.08191,NO,NO,0.62,NO,NO
79,43834,636636,2.75382,NO,YES,0.79,YES,YES
80,40852,575008,3.52768,NO,YES,0.54,YES,YES
