Question,Answer
According to constitution of India what are the fundamental rights of citizens of India ? ,"The fundamental rights include the Right to Equality, Right to Freedom, Right against Exploitation, Right to Freedom of Religion, Cultural and Educational Rights, and the Right to Constitutional Remedies. These rights ensure equality, freedom, protection from exploitation, religious freedom, cultural rights, and the ability to seek legal redress for violations."
What is the significance of the Preamble in the Constitution of India?,"The Preamble serves as an introduction to the Constitution of India, stating its objectives: Justice, Liberty, Equality, and Fraternity. It declares India as a Sovereign, Socialist, Secular, and Democratic Republic, reflecting the core values and guiding principles of the nation."
How does the Constitution of India ensure the independence of the judiciary?,"The Constitution ensures the independence of the judiciary through secure tenure for judges, protection against arbitrary removal, fixed salaries and allowances, and the prohibition of discussion in the legislature regarding judges' conduct. These measures prevent interference from the executive and legislative branches."
"What are the Directive Principles of State Policy, and how do they differ from Fundamental Rights?","The Directive Principles of State Policy are non-justiciable guidelines for the government to promote social and economic welfare. They differ from Fundamental Rights, which are enforceable and protect individual liberties. Directive Principles aim to create a just society by guiding the state in policy-making for public welfare."
What is the concept of 'Secularism' in the context of the Indian Constitution?,"In the Indian Constitution, 'Secularism' means that the state has no official religion and treats all religions equally. It ensures that individuals have the freedom to practice, profess, and propagate their religion without discrimination. The state cannot favor or discriminate against any religion."
How is the President of India elected?,"The President of India is elected by an electoral college consisting of elected members of both houses of Parliament and elected members of the Legislative Assemblies of States and Union territories. The election process uses a system of proportional representation through a single transferable vote, ensuring a balanced representation of different states."
"What are Fundamental Duties, and where are they mentioned in the Constitution?","Fundamental Duties are moral obligations of all citizens to help promote a spirit of patriotism and uphold the unity of India. They are mentioned in Article 51A of the Constitution and include duties like respecting the Constitution, promoting harmony, and protecting the environment. These duties are not legally enforceable but serve as a reminder of citizens' responsibilities."
What is the role of the Vice-President of India?,"The Vice-President of India is the ex-officio Chairman of the Rajya Sabha (Council of States) and acts as the President in the event of the President's absence, death, resignation, or removal. The Vice-President is elected by an electoral college consisting of members of both houses of Parliament."
What is the 'Basic Structure' doctrine in Indian constitutional law?,The 'Basic Structure' doctrine is a judicial principle that certain fundamental features of the Constitution cannot be altered or destroyed by amendments. This doctrine was established by the Supreme Court of India in the Kesavananda Bharati case (1973). It ensures that the core values and principles of the Constitution are preserved.
What is the role of the Comptroller and Auditor General of India (CAG)?,The CAG audits all receipts and expenditures of the Government of India and the state governments. It ensures transparency and accountability in the use of public funds. The CAG also audits government companies and other public sector organizations. The reports of the CAG are submitted to the President or the Governor and are laid before the Parliament or state legislature.
What is the process for amending the Constitution of India?,"The Constitution can be amended by the Parliament, and the process varies depending on the nature of the amendment. Some amendments require a simple majority in both houses, while others need a special majority (two-thirds of members present and voting). Certain amendments, which affect federal provisions, also require ratification by at least half of the state legislatures."
What is the significance of the Ninth Schedule in the Indian Constitution?,"The Ninth Schedule was added to the Constitution by the First Amendment in 1951. It contains laws that are exempt from judicial review, meaning they cannot be challenged in court for violating fundamental rights. This schedule was created to protect certain agrarian reforms and land redistribution laws from legal challenges. However, the Supreme Court has ruled that laws placed in the Ninth Schedule after April 24, 1973, can be reviewed if they violate the basic structure of the Constitution."
