Stock_name,Yahoo_name
ACC,ACC.NS
ADANIPORTS,ADANIPORTS.NS
ADANITRANS,ADANITRANS.NS
AMBUJACEM,AMBUJACEM.NS
ASHOKLEY,ASHOKLEY.NS
ASIANPAINT,ASIANPAINT.NS
AUROPHARMA,AUROPHARMA.NS
DMART,DMART.NS
AXISBANK,AXISBANK.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJFINANCE,BAJFINANCE.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BANDHANBNK,BANDHANBNK.NS
BANKBARODA,BANKBARODA.NS
BERGEPAINT,BERGEPAINT.NS
BPCL,BPCL.NS
BHARTIARTL,BHARTIARTL.NS
INFRATEL,INFRATEL.NS
BIOCON,BIOCON.NS
BOSCHLTD,BOSCHLTD.NS
BRITANNIA,BRITANNIA.NS
CADILAHC,CADILAHC.NS
CIPLA,CIPLA.NS
COALINDIA,COALINDIA.NS
COLPAL,COLPAL.NS
CONCOR,CONCOR.NS
DLF,DLF.NS
DABUR,DABUR.NS
DIVISLAB,DIVISLAB.NS
DRREDDY,DRREDDY.NS
EICHERMOT,EICHERMOT.NS
GAIL,GAIL.NS
GICRE,GICRE.NS
GODREJCP,GODREJCP.NS
GRASIM,GRASIM.NS
HCLTECH,HCLTECH.NS
HDFCAMC,HDFCAMC.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HAVELLS,HAVELLS.NS
HEROMOTOCO,HEROMOTOCO.NS
HINDALCO,HINDALCO.NS
HINDPETRO,HINDPETRO.NS
HINDUNILVR,HINDUNILVR.NS
HINDZINC,HINDZINC.NS
HDFC,HDFC.NS
ICICIBANK,ICICIBANK.NS
ICICIGI,ICICIGI.NS
ICICIPRULI,ICICIPRULI.NS
ITC,ITC.NS
IBULHSGFIN,IBULHSGFIN.NS
IOC,IOC.NS
INDUSINDBK,INDUSINDBK.NS
INFY,INFY.NS
INDIGO,INDIGO.NS
JSWSTEEL,JSWSTEEL.NS
KOTAKBANK,KOTAKBANK.NS
L&TFH,L&TFH.NS
LT,LT.NS
LUPIN,LUPIN.NS
M&M,M&M.NS
MARICO,MARICO.NS
MARUTI,MARUTI.NS
MOTHERSUMI,MOTHERSUMI.NS
NHPC,NHPC.NS
NMDC,NMDC.NS
NTPC,NTPC.NS
NESTLEIND,NESTLEIND.NS
ONGC,ONGC.NS
OFSS,OFSS.NS
PAGEIND,PAGEIND.NS
PETRONET,PETRONET.NS
PIDILITIND,PIDILITIND.NS
PEL,PEL.NS
PFC,PFC.NS
POWERGRID,POWERGRID.NS
PGHH,PGHH.NS
PNB,PNB.NS
RELIANCE,RELIANCE.NS
SBILIFE,SBILIFE.NS
SHREECEM,SHREECEM.NS
SRTRANSFIN,SRTRANSFIN.NS
SIEMENS,SIEMENS.NS
SBIN,SBIN.NS
SUNPHARMA,SUNPHARMA.NS
TCS,TCS.NS
TATAMTRDVR,TATAMTRDVR.NS
TATAMOTORS,TATAMOTORS.NS
TATASTEEL,TATASTEEL.NS
TECHM,TECHM.NS
NIACL,NIACL.NS
TITAN,TITAN.NS
UPL,UPL.NS
ULTRACEMCO,ULTRACEMCO.NS
UBL,UBL.NS
MCDOWELL-N,MCDOWELL-N.NS
VEDL,VEDL.NS
IDEA,IDEA.NS
WIPRO,WIPRO.NS
ZEEL,ZEEL.NS
